Item,Quantidade
inclusive,2
comunicando,1
trocar,1
senha,2
chaves,1
disso,3
bastantes,1
averiguar,1
seria,2
origem,1
produzidas,1
nesse,1
sentido,1
rejeitado,3
clausula,1
norma,1
prevê,1
empreagor,1
divulgar,4
destacou,1
nulidade,1
diante,1
disposições,1
buscada,1
própria,2
acolhido,1
pena,6
multa,6
diária,3
prevista,1
ingressou,1
pretendendo,2
reclamada,4
promoveu,2
indeferiu,1
produção,2
digitais,1
solicitação,2
geolocalização,3
integrantes,2
contratual,2
controle,4
jornada,2
pode,2
requerida,4
exercício,3
regular,3
defendida,1
pública,7
apresentou,3
atestanto,1
nomeação,2
existência,1
política,2
privacidade,6
aditivos,1
contratuais,1
mantida,6
improcedência,1
lxxix,2
crfb/88,1
quando,3
utilizado,2
profissionais,2
usuária,1
enfrentou,1
adotado,1
legitima,2
medida,5
determina,2
telemáticos,1
aplicando,1
restar,2
cofigurado,1
exclusivos,1
observou,3
requisitos,2
exigidos,3
artigos,2
12965/2014,4
decreto,1
8771/2016,1
fundamentando,1
scoring,1
(análise,1
concessão,1
crédito),1
lícita,2
autorizada,2
cadastro,7
positivo,2
desta,1
demanda,2
tampouco,1
requerente,3
alega,7
privados,1
estão,2
vendidos,1
imposição,3
bloquear,1
excluir,2
originados,1
13709/2018,4
art11,1
publicação,1
continuavam,1
contatando,1
após,8
término,1
vínculo,1
empregatício,1
configuração,2
dispensa,1
motivo,2
praticada,1
copiou,1
arquivos,2
contendo,1
sigilosas,2
(dados,2
clientes),1
repassou,1
mesma,2
e-mail,3
violando,1
regras,1
negava,1
fornecer,2
venda,3
isso,5
inserido,1
condicionou,1
deveriam,2
inserir,1
próprios,1
cpfs,1
colaboradores,2
n13709/2018,1
recebeu,2
encerramento,1
entre,1
partes,1
caracterizada,1
ilícita,3
abusiva,2
descumpriu,1
retirada,2
cadastros,2
resolução,1
632/2014,1
impedir,1
execução,1
biométricos,1
metrô,2
instituição,4
ensejando,1
fraudes,1
especifico,1
celebrar,1
compra,1
imóvel,1
compartilhou,1
terceiras,1
marketing,1
rigação,1
abster-se,6
utilizar,4
distinto,1
pactuado,1
arts,10
55-a,1
55-j,2
55-k,1
familiares,5
vítimas,3
inúmeras,3
ameaças,2
perpetradas,2
terceiro,9
ilícitos,3
utilizou-se,2
obtidos,3
junto,5
concreto,4
pois,6
tela,2
computador,2
exige,1
remoção,1
integral,1
suposta,1
hackeada,4
decidiu-se,2
(quarenta,1
oito),1
horas,2
suspenda,1
ilegal,2
formação,1
restrições,2
crédito,6
potenciais,1
vaga,1
emprego,1
transportadores,1
tratando,1
públicas,1
obtidas,1
legalmente,1
constituídos,1
ensejam,1
potencial,1
discriminatório,1
esses,1
essa,1
vereador,2
publicidade,1
lista,2
vacinados,2
covid-19,2
fundamento,3
cada,2
todavia,2
concedeu,1
agente,2
público,4
responsável,5
atos,2
administração,2
cabendo,2
responsabilizar,2
abstendo,2
compartilhá-los,2
relativos,2
vacinação,1
deverá,3
prefeitura,1
encaminhar,1
impetrante,2
autorizou,2
abstenha,2
efetuar,2
aposentadoria,2
contratação,3
expôs,1
lançados,1
site,4
reclamações,1
mantidos,1
ocorreu,1
publicou,1
mundial,1
computadores,1
fraudadores,2
emitiam,1
boleto,3
completos,1
recebimento,1
ilícito,2
caracterizado,1
contratações,1
ilícitas/irregulares,1
liberado,1
/autorização,1
princípio,1
boa-fé,1
cdc),3
rejeitada,1
sofrido,1
amparada,1
cadastrais,1
disponibilização,3
outras,2
empresas,4
amparado,2
line,1
invadida,1
alteração,1
possuia,1
restabelecido,1
informada,1
estornado,2
cartão,2
afirma,1
inferior,1
fragilidade,1
expostos,2
restituição,1
negado,2
tratar,1
mero,1
aborrecimento,1
digital,8
influencer,1
utilizaram,1
profissional,2
perda,2
receita,1
cível,1
bloqueada,2
acrescentou,1
utilizava,1
responder,1
buscavam,1
liminarmente,1
fosse,3
reestabelecido,1
reparação,2
pedidos,4
iniciais,1
julgados,1
parcialmente,2
procedentes,1
ante,2
exposto,1
fazer,6
consistente,1
reativar,1
e/ou,2
adotar,1
providências,1
tenha,2
pleno,1
novamente,1
pagar,2
(três,1
reais),2
título,4
prejuízo,1
ordenou,3
restabelecimento,1
(cdc,1
viii),2
cobrança,1
ilícita/irregular,1
conhecimento,1
negativação,2
órgão,3
informar,2
está,1
processando,1
fornecimento,1
categorias,1
identificar,1
utilizavam,1
vender,1
remédios,1
desconto,1
contraria,1
violaram,1
protecao,1
reversão,2
juízo,6
embriaguez,1
teste,1
etilômetro,1
relata,1
pessoal,6
justificada,1
(texto,1
colheita,1
13709/2018),1
trata-se,1
eliminação,2
tratados,1
julgado,3
procedente,2
condenar,3
abster,3
quaisquer,1
devendo,1
excluí-los,1
trocou,1
chip,2
falsário,2
passando-se,1
dirigir-se,1
loja,1
solicitar,1
novo,3
partir,1
realizou,1
transações,1
banking,1
falhou,1
possibilitar,1
consumidor,1
pelos,3
causados,3
formulado,1
(oito,1
enviou,1
propaganda,1
empreendimento,1
imobiliário,1
retirou,1
impôs,1
realizar,2
novos,1
contatos,1
mullta,1
permitiu,1
tivessem,1
indevida,6
assim,2
omissão,1
termos,2
13709/18,1
(lei,4
transtornos,1
deferido,4
exclua,1
definitivamente,1
quantia,1
infringe,1
termo,1
adesão,1
informação,5
repassar,1
sigilosos,3
manter,1
pleiteava,1
cometido,1
apesar,2
exame,1
paciente,1
revelador,1
seguir,2
protocolo,1
padrão,1
possibilitou,1
amigos,1
agentes,1
funerários,1
liminar,3
procedência,1
determinando,1
forneça,2
trabalhava,1
disciplina,1
administrativa,1
judiciário,2
independente,1
telefônico,2
telefonia,4
disponibilizasse,1
histórico,1
chamadas,1
recebidos,1
efetuados,1
postulou,1
extras,1
solicitou,1
questionados,1
registros,1
este,2
violaria,1
ordem,7
judicial,5
concedendo,1
necessária,2
esclarecimento,1
fatos,1
telecomunicação,1
confesa,1
coletou,1
(artigos,1
caput,2
anúncio,1
relacionamento,1
indicava,1
providência,1
exerceu,1
ensino,1
cumprido,1
permaneciam,1
determinada,1
efetivada,1
concedido,1
reestabelecimento,1
cuja,1
fora,1
automatizado,2
adicional,1
declaração,1
dispensada,1
vazado,1
prontuário,1
medico,1
comprovar,1
práticas,1
relacionadas,1
houve,4
documental,1
incontestável,1
conformidade,2
gastos,1
estejam,1
estatuto,1
incluem-se,1
conceito,1
insumos,1
creditamento,1
cofins,1
notificou,1
única,1
notificação,1
pessoalmente,1
envio,1
servidor,1
cabimento,1
inviolabilidade,1
constitucional,2
pleiteia,1
informe,1
quais,3
contaminados,1
suspeita,1
covid19,2
cabe,1
pretensão,2
garantia,1
acima,1
apontada,1
classe,1
próprio,1
conseguir,1
membros,2
categoria,2
estes,1
entenderem,1
pertinente,1
conhecido,1
provido,1
disponibilizar,2
visto,3
objetiva,2
promoção,1
ofensa,3
website,1
responsabilidade,2
tema,1
repercussão,1
estender,1
todo,1
território,1
provedores,1
aplicações,2
conteúdos,1
processos,3
judiciais,1
