Item,Quantidade
SP,63
DF,18
MG,33
MA,1
PE,3
TO,2
RN,2
RS,19
PA,3
RO,2
GO,3
RJ,6
PR,1
MS,1
SC,4
MT,2
AC,1
SE,1
AL,4
CE,1
PB,1
